subject_id,classifier,n_total_trials,n_left_trials,n_right_trials,mean_loso_accuracy,std_loso_accuracy,min_fold_accuracy,max_fold_accuracy
S029,lda,45,23,22,1.0,0.0,1.0,1.0
S007,lda,45,23,22,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0
S002,lda,45,23,22,0.9111111111111111,0.0831479419283098,0.8,1.0
S085,lda,45,23,22,0.9111111111111111,0.0831479419283098,0.8,1.0
S072,lda,43,22,21,0.9063492063492063,0.08953844302330446,0.7857142857142857,1.0
S034,lda,43,21,22,0.9047619047619048,0.0673435029701474,0.8571428571428571,1.0
S053,lda,45,22,23,0.888888888888889,0.06285393610547088,0.8,0.9333333333333333
S062,lda,45,23,22,0.8888888888888888,0.15713484026367724,0.6666666666666666,1.0
S042,lda,45,22,23,0.8666666666666667,0.10886621079036349,0.7333333333333333,1.0
S031,lda,45,22,23,0.8666666666666667,0.05443310539518172,0.8,0.9333333333333333
S094,lda,45,22,23,0.8444444444444444,0.17497795275581804,0.6,1.0
S056,lda,45,22,23,0.8444444444444444,0.08314794192830985,0.7333333333333333,0.9333333333333333
S055,lda,45,23,22,0.8000000000000002,0.10886621079036349,0.6666666666666666,0.9333333333333333
S060,lda,45,23,22,0.7999999999999999,0.09428090415820638,0.6666666666666666,0.8666666666666667
S093,lda,45,23,22,0.7777777777777777,0.03142696805273549,0.7333333333333333,0.8
S052,lda,45,24,21,0.7555555555555555,0.031426968052735496,0.7333333333333333,0.8
S108,lda,45,22,23,0.7555555555555555,0.11331154474650636,0.6,0.8666666666666667
S035,lda,45,22,23,0.7555555555555555,0.06285393610547094,0.6666666666666666,0.8
S083,lda,45,22,23,0.7555555555555555,0.08314794192830985,0.6666666666666666,0.8666666666666667
S032,lda,45,21,24,0.7555555555555555,0.03142696805273549,0.7333333333333333,0.8
S026,lda,45,24,21,0.7333333333333334,0.14401645996461915,0.5333333333333333,0.8666666666666667
S033,lda,45,23,22,0.7333333333333334,0.10886621079036349,0.6,0.8666666666666667
S054,lda,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S043,lda,45,23,22,0.7111111111111111,0.06285393610547094,0.6666666666666666,0.8
S061,lda,45,22,23,0.688888888888889,0.08314794192830983,0.6,0.8
S022,lda,45,22,23,0.6888888888888888,0.08314794192830985,0.6,0.8
S071,lda,45,22,23,0.6888888888888888,0.13698697784375505,0.5333333333333333,0.8666666666666667
S075,lda,45,22,23,0.6888888888888888,0.03142696805273544,0.6666666666666666,0.7333333333333333
S103,lda,45,22,23,0.6666666666666666,0.09428090415820636,0.6,0.8
S025,lda,45,22,23,0.6666666666666666,0.10886621079036349,0.5333333333333333,0.8
S045,lda,45,23,22,0.6666666666666666,0.05443310539518172,0.6,0.7333333333333333
S027,lda,45,23,22,0.6666666666666666,0.09428090415820636,0.6,0.8
S081,lda,45,22,23,0.6666666666666666,0.09428090415820636,0.6,0.8
S015,lda,45,23,22,0.6444444444444445,0.11331154474650636,0.5333333333333333,0.8
S095,lda,45,23,22,0.6444444444444445,0.13698697784375505,0.4666666666666667,0.8
S098,lda,45,23,22,0.6444444444444444,0.12570787221094176,0.4666666666666667,0.7333333333333333
S051,lda,45,24,21,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
S049,lda,45,23,22,0.6444444444444444,0.03142696805273544,0.6,0.6666666666666666
S048,lda,45,22,23,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
S070,lda,45,22,23,0.6222222222222222,0.03142696805273544,0.6,0.6666666666666666
S069,lda,45,24,21,0.6222222222222222,0.1133115447465063,0.4666666666666667,0.7333333333333333
S097,lda,45,23,22,0.6222222222222222,0.03142696805273544,0.6,0.6666666666666666
S104,lda,42,21,21,0.6222222222222222,0.16629588385661961,0.4,0.8
S001,lda,45,23,22,0.6222222222222222,0.1133115447465063,0.4666666666666667,0.7333333333333333
S011,lda,45,23,22,0.6222222222222222,0.0831479419283098,0.5333333333333333,0.7333333333333333
S074,lda,43,22,21,0.6047619047619047,0.14584183648679577,0.42857142857142855,0.7857142857142857
S003,lda,45,23,22,0.6,0.05443310539518172,0.5333333333333333,0.6666666666666666
S038,lda,45,23,22,0.6,0.10886621079036345,0.4666666666666667,0.7333333333333333
S063,lda,45,22,23,0.5777777777777778,0.06285393610547088,0.5333333333333333,0.6666666666666666
S090,lda,45,22,23,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S089,lda,45,24,21,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333
S067,lda,45,22,23,0.5777777777777778,0.136986977843755,0.4,0.7333333333333333
S080,lda,45,23,22,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S099,lda,45,22,23,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S105,lda,45,23,22,0.5777777777777778,0.06285393610547088,0.5333333333333333,0.6666666666666666
S106,lda,45,24,21,0.5777777777777778,0.0831479419283098,0.4666666666666667,0.6666666666666666
S010,lda,45,24,21,0.5777777777777778,0.1133115447465063,0.4666666666666667,0.7333333333333333
S107,lda,45,24,21,0.5777777777777778,0.03142696805273544,0.5333333333333333,0.6
S008,lda,45,22,23,0.5555555555555555,0.0831479419283098,0.4666666666666667,0.6666666666666666
