held_out_run,classifier,n_train,n_test,train_left,train_right,test_left,test_right,accuracy,tn_left_correct,fp_left_as_right,fn_right_as_left,tp_right_correct,subject_id
R04,svm,30,15,15,15,8,7,0.4666666666666667,0,8,0,7,S001
R08,svm,30,15,15,15,8,7,0.6666666666666666,6,2,3,4,S001
R12,svm,30,15,16,14,7,8,0.6666666666666666,6,1,4,4,S001
R04,svm,30,15,16,14,7,8,0.9333333333333333,6,1,0,8,S002
R08,svm,30,15,15,15,8,7,1.0,8,0,0,7,S002
R12,svm,30,15,15,15,8,7,0.8666666666666667,8,0,2,5,S002
R04,svm,30,15,15,15,8,7,0.6,5,3,3,4,S003
R08,svm,30,15,16,14,7,8,0.5333333333333333,7,0,7,1,S003
R12,svm,30,15,15,15,8,7,0.4666666666666667,2,6,2,5,S003
R04,svm,30,15,15,15,8,7,0.5333333333333333,8,0,7,0,S004
R08,svm,30,15,16,14,7,8,0.6,7,0,6,2,S004
R12,svm,30,15,15,15,8,7,0.4666666666666667,1,7,1,6,S004
R04,svm,30,15,14,16,7,8,0.5333333333333333,1,6,1,7,S005
R08,svm,30,15,14,16,7,8,0.6666666666666666,6,1,4,4,S005
R12,svm,30,15,14,16,7,8,0.4666666666666667,4,3,5,3,S005
R04,svm,30,15,16,14,8,7,0.5333333333333333,8,0,7,0,S006
R08,svm,30,15,16,14,8,7,0.4666666666666667,6,2,6,1,S006
R12,svm,30,15,16,14,8,7,0.5333333333333333,5,3,4,3,S006
R04,svm,30,15,15,15,8,7,1.0,8,0,0,7,S007
R08,svm,30,15,15,15,8,7,0.9333333333333333,7,1,0,7,S007
R12,svm,30,15,16,14,7,8,1.0,7,0,0,8,S007
R04,svm,30,15,15,15,7,8,0.5333333333333333,0,7,0,8,S008
R08,svm,30,15,15,15,7,8,0.6,6,1,5,3,S008
R12,svm,30,15,14,16,8,7,0.4666666666666667,2,6,2,5,S008
R04,svm,30,15,16,14,8,7,0.4666666666666667,0,8,0,7,S009
R08,svm,30,15,16,14,8,7,0.4666666666666667,0,8,0,7,S009
R12,svm,30,15,16,14,8,7,0.4,3,5,4,3,S009
R04,svm,30,15,16,14,8,7,0.5333333333333333,8,0,7,0,S010
R08,svm,30,15,16,14,8,7,0.7333333333333333,6,2,2,5,S010
R12,svm,30,15,16,14,8,7,0.4666666666666667,2,6,2,5,S010
R04,svm,30,15,15,15,8,7,0.4666666666666667,7,1,7,0,S011
R08,svm,30,15,16,14,7,8,0.5333333333333333,6,1,6,2,S011
R12,svm,30,15,15,15,8,7,0.7333333333333333,5,3,1,6,S011
