subject_id,classifier,n_total_trials,n_left_trials,n_right_trials,mean_loso_accuracy,std_loso_accuracy,min_fold_accuracy,max_fold_accuracy
S029,svm,45,23,22,1.0,0.0,1.0,1.0
S007,svm,45,23,22,0.9777777777777779,0.03142696805273544,0.9333333333333333,1.0
S085,svm,45,23,22,0.9555555555555556,0.03142696805273544,0.9333333333333333,1.0
S072,svm,43,22,21,0.9523809523809524,0.0673435029701474,0.8571428571428571,1.0
S002,svm,45,23,22,0.9333333333333332,0.05443310539518172,0.8666666666666667,1.0
S062,svm,45,23,22,0.9111111111111111,0.12570787221094182,0.7333333333333333,1.0
S053,svm,45,22,23,0.9111111111111111,0.0831479419283098,0.8,1.0
S034,svm,43,21,22,0.9063492063492063,0.034848410158889155,0.8571428571428571,0.9333333333333333
S031,svm,45,22,23,0.8666666666666667,0.05443310539518172,0.8,0.9333333333333333
S056,svm,45,22,23,0.8666666666666667,0.14401645996461915,0.6666666666666666,1.0
S094,svm,45,22,23,0.8444444444444444,0.08314794192830985,0.7333333333333333,0.9333333333333333
S055,svm,45,23,22,0.8222222222222223,0.13698697784375505,0.6666666666666666,1.0
S060,svm,45,23,22,0.8222222222222223,0.08314794192830982,0.7333333333333333,0.9333333333333333
S035,svm,45,22,23,0.7777777777777777,0.03142696805273549,0.7333333333333333,0.8
S093,svm,45,23,22,0.7777777777777777,0.03142696805273549,0.7333333333333333,0.8
S042,svm,45,22,23,0.7555555555555555,0.1911627837120584,0.5333333333333333,1.0
S054,svm,45,23,22,0.7333333333333334,0.05443310539518177,0.6666666666666666,0.8
S052,svm,45,24,21,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333
S022,svm,45,22,23,0.7333333333333333,0.0,0.7333333333333333,0.7333333333333333
S026,svm,45,24,21,0.7111111111111111,0.13698697784375505,0.5333333333333333,0.8666666666666667
S033,svm,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S045,svm,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S027,svm,45,23,22,0.7111111111111111,0.08314794192830983,0.6,0.8
S089,svm,45,24,21,0.688888888888889,0.11331154474650634,0.5333333333333333,0.8
S061,svm,45,22,23,0.688888888888889,0.11331154474650634,0.5333333333333333,0.8
S043,svm,45,23,22,0.6888888888888888,0.17497795275581804,0.5333333333333333,0.9333333333333333
S032,svm,45,21,24,0.6888888888888888,0.08314794192830983,0.6,0.8
S069,svm,45,24,21,0.6666666666666666,0.05443310539518172,0.6,0.7333333333333333
S071,svm,45,22,23,0.6666666666666666,0.10886621079036349,0.5333333333333333,0.8
S048,svm,45,22,23,0.6444444444444444,0.03142696805273544,0.6,0.6666666666666666
S097,svm,45,23,22,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
S070,svm,45,22,23,0.6444444444444444,0.0831479419283098,0.5333333333333333,0.7333333333333333
S051,svm,45,24,21,0.6444444444444444,0.06285393610547088,0.6,0.7333333333333333
