experiment_group,config_id,model_name,n_components,lda_solver,lda_shrinkage,svm_kernel,svm_c,n_subjects,n_folds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_f1_macro,std_f1_macro,mean_tpr_left,mean_tpr_right
lda_tuning_v1,2601698d9c,LDA,6,lsqr,0.3,,,106,318,0.6272162324049116,0.15995152382682745,0.6270589997005092,0.15933833602966202,0.5881032389067575,0.19082249990944727,0.6220238095238095,0.6320941898772088
lda_tuning_v1,ccc9055f10,LDA,6,eigen,0.3,,,106,318,0.6272162324049116,0.15995152382682745,0.6270589997005092,0.15933833602966202,0.5881032389067575,0.19082249990944727,0.6220238095238095,0.6320941898772088
lda_tuning_v1,90f0279793,LDA,8,eigen,0.3,,,106,318,0.6237720874513327,0.16289806336228665,0.6237178047319557,0.16262773278138057,0.5849282634002352,0.19135712139895028,0.6217991913746631,0.6256364180892482
lda_tuning_v1,d93569f381,LDA,8,lsqr,0.3,,,106,318,0.6237720874513327,0.16289806336228665,0.6237178047319557,0.16262773278138057,0.5849282634002352,0.19135712139895028,0.6217991913746631,0.6256364180892482
lda_tuning_v1,0838365997,LDA,6,lsqr,auto,,,106,318,0.6233003893381251,0.15704982310279927,0.6226040730757711,0.15677190977402672,0.5837300206250166,0.188251857731319,0.6198899371069182,0.6253182090446242
lda_tuning_v1,4b8423888a,LDA,6,eigen,auto,,,106,318,0.6233003893381251,0.15704982310279927,0.6226040730757711,0.15677190977402672,0.5837300206250166,0.188251857731319,0.6198899371069182,0.6253182090446242
lda_tuning_v1,6f6fd93d83,LDA,4,lsqr,0.3,,,106,318,0.6204103024857742,0.16006227442844806,0.6206386642707398,0.15977416289450797,0.5794877031013875,0.19129028588074876,0.6144616651692123,0.6268156633722671
lda_tuning_v1,7991e5d04f,LDA,4,eigen,0.3,,,106,318,0.6204103024857742,0.16006227442844806,0.6206386642707398,0.15977416289450797,0.5794877031013875,0.19129028588074876,0.6144616651692123,0.6268156633722671
lda_tuning_v1,595b6be87a,LDA,6,eigen,0.1,,,106,318,0.6207622042527703,0.15918799339791304,0.6203204552261156,0.1584659675203651,0.582637836013376,0.1877151410029562,0.6190476190476191,0.6215932914046122
lda_tuning_v1,f951873acb,LDA,6,lsqr,0.1,,,106,318,0.6207622042527703,0.15918799339791304,0.6203204552261156,0.1584659675203651,0.582637836013376,0.1877151410029562,0.6190476190476191,0.6215932914046122
lda_tuning_v1,5a53f0ae55,LDA,8,lsqr,0.1,,,106,318,0.6192123390236598,0.16403720310564363,0.6189072327044025,0.16386529206691464,0.5809163584146314,0.19192490582797372,0.6170822102425876,0.6207322551662174
lda_tuning_v1,fb2809ab28,LDA,8,eigen,0.1,,,106,318,0.6192123390236598,0.16403720310564363,0.6189072327044025,0.16386529206691464,0.5809163584146314,0.19192490582797372,0.6170822102425876,0.6207322551662174
lda_tuning_v1,a81462b1a6,LDA,4,lsqr,0.1,,,106,318,0.6172057502246181,0.16237977497920122,0.6175782419886194,0.16171345662216582,0.5782765328017616,0.19166379519114687,0.6095200658879905,0.6256364180892482
lda_tuning_v1,cf99e61679,LDA,4,eigen,0.1,,,106,318,0.6172057502246181,0.16237977497920122,0.6175782419886194,0.16171345662216582,0.5782765328017616,0.19166379519114687,0.6095200658879905,0.6256364180892482
lda_tuning_v1,1e406c6154,LDA,4,lsqr,,,,106,318,0.6152440850554057,0.1635967224643656,0.6162866876310272,0.16282686413833247,0.5797633487530551,0.1889184664848425,0.6126647199760407,0.6199086552860138
lda_tuning_v1,4c16cef962,LDA,4,svd,,,,106,318,0.6152440850554057,0.1635967224643656,0.6162866876310272,0.16282686413833247,0.5797633487530551,0.1889184664848425,0.6126647199760407,0.6199086552860138
lda_tuning_v1,972914fe3e,LDA,4,eigen,,,,106,318,0.6152440850554057,0.1635967224643656,0.6162866876310272,0.16282686413833247,0.5797633487530551,0.1889184664848425,0.6126647199760407,0.6199086552860138
lda_tuning_v1,42d09d2b75,LDA,4,eigen,auto,,,106,318,0.6157981431566337,0.16074635321393338,0.615893605870021,0.1597427454528849,0.5756306022613704,0.18984423307411163,0.6123839472896077,0.6194032644504343
lda_tuning_v1,ad06430d7a,LDA,4,lsqr,auto,,,106,318,0.6157981431566337,0.16074635321393338,0.615893605870021,0.1597427454528849,0.5756306022613704,0.18984423307411163,0.6123839472896077,0.6194032644504343
lda_tuning_v1,94e2adaa28,LDA,8,eigen,auto,,,106,318,0.6125786163522012,0.1613167693450489,0.6123652291105122,0.16110594547290327,0.5710817810841589,0.19130308217668962,0.6090521114106019,0.6156783468104222
lda_tuning_v1,f987ed8b35,LDA,8,lsqr,auto,,,106,318,0.6125786163522012,0.1613167693450489,0.6123652291105122,0.16110594547290327,0.5710817810841589,0.19130308217668962,0.6090521114106019,0.6156783468104222
lda_tuning_v1,07ae43c2a8,LDA,8,eigen,,,,106,318,0.6117100928421683,0.16146521300670058,0.6116071428571428,0.16102654495356336,0.5740063283022637,0.18859083446643968,0.6093890386343216,0.613825247079964
lda_tuning_v1,7dde0e8e52,LDA,8,lsqr,,,,106,318,0.6117100928421683,0.16146521300670058,0.6116071428571428,0.16102654495356336,0.5740063283022637,0.18859083446643968,0.6093890386343216,0.613825247079964
lda_tuning_v1,2a61349d4a,LDA,8,svd,,,,106,318,0.6112908056304283,0.16166870672599637,0.6111859838274932,0.16118989173049947,0.5735695707900346,0.18872994100065832,0.6089398023360287,0.6134321653189577
lda_tuning_v1,13fba2ed4b,LDA,6,lsqr,,,,106,318,0.6113581910751722,0.1594730884940093,0.6108584156933213,0.1587090756670995,0.5734746569198406,0.18694742645272602,0.6192722371967655,0.6024445941898772
lda_tuning_v1,3c6eca4571,LDA,6,eigen,,,,106,318,0.6113581910751722,0.1594730884940093,0.6108584156933213,0.1587090756670995,0.5734746569198406,0.18694742645272602,0.6192722371967655,0.6024445941898772
lda_tuning_v1,77d7f49b82,LDA,6,svd,,,,106,318,0.6111485474693023,0.15953187631832022,0.6106618748128182,0.1587302055994094,0.5731427212105463,0.18708289935389433,0.6192722371967655,0.6020515124288709
lda_tuning_v1,45ffd9277e,LDA,2,svd,,,,106,318,0.603968253968254,0.15866614051271627,0.6030342168313867,0.15861957546762187,0.5633076755063957,0.18738901700126986,0.60880877508236,0.5972596585804133
lda_tuning_v1,6e4c41088b,LDA,2,lsqr,,,,106,318,0.6035489667565139,0.15894095740056122,0.6026411350703804,0.15898261970209393,0.5628480710683901,0.18761695216125301,0.6080226115603474,0.5972596585804133
lda_tuning_v1,8084c93394,LDA,2,eigen,,,,106,318,0.6035489667565139,0.15894095740056122,0.6026411350703804,0.15898261970209393,0.5628480710683901,0.18761695216125301,0.6080226115603474,0.5972596585804133
lda_tuning_v1,4784f644d1,LDA,2,eigen,auto,,,106,318,0.6028601377657982,0.15811971443663284,0.6007880353399221,0.15863245451100855,0.5583443290731246,0.18983724872864174,0.6060572027553159,0.5955188679245284
lda_tuning_v1,8f70493860,LDA,2,lsqr,auto,,,106,318,0.6028601377657982,0.15811971443663284,0.6007880353399221,0.15863245451100855,0.5583443290731246,0.18983724872864174,0.6060572027553159,0.5955188679245284
lda_tuning_v1,027946b30f,LDA,2,eigen,0.3,,,106,318,0.602470799640611,0.1615255450777324,0.6007880353399221,0.16165691866336868,0.5567415778416872,0.19318098714605164,0.6065625935908955,0.5950134770889488
lda_tuning_v1,6921e82f92,LDA,2,lsqr,0.3,,,106,318,0.602470799640611,0.1615255450777324,0.6007880353399221,0.16165691866336868,0.5567415778416872,0.19318098714605164,0.6065625935908955,0.5950134770889488
