experiment_group,config_id,model_name,subject_id,held_out_run,n_components,lda_solver,lda_shrinkage,svm_kernel,svm_c,n_train_trials,n_test_trials,train_left,train_right,test_left,test_right,fit_time_sec,accuracy,balanced_accuracy,f1_macro,tn,fp,fn,tp,tpr_left,tpr_right
lda_tuning_v1,45ffd9277e,LDA,S001,R04,2,svd,,,,30,15,15,15,8,7,0.04168316602590494,0.4666666666666667,0.5,0.3181818181818182,0,8,0,7,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S001,R08,2,svd,,,,30,15,15,15,8,7,0.029870750004192814,0.6,0.6071428571428572,0.5982142857142857,4,4,2,5,0.5,0.7142857142857143
lda_tuning_v1,45ffd9277e,LDA,S001,R12,2,svd,,,,30,15,16,14,7,8,0.028196291998028755,0.6,0.6160714285714286,0.5833333333333333,6,1,5,3,0.8571428571428571,0.375
lda_tuning_v1,45ffd9277e,LDA,S002,R04,2,svd,,,,30,15,16,14,7,8,0.02979425000376068,0.4666666666666667,0.5,0.3181818181818182,7,0,8,0,1.0,0.0
lda_tuning_v1,45ffd9277e,LDA,S002,R08,2,svd,,,,30,15,15,15,8,7,0.030504334019497037,0.5333333333333333,0.5267857142857143,0.5248868778280543,5,3,4,3,0.625,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S002,R12,2,svd,,,,30,15,15,15,8,7,0.029775625007459894,0.8,0.7857142857142857,0.784688995215311,8,0,3,4,1.0,0.5714285714285714
lda_tuning_v1,45ffd9277e,LDA,S003,R04,2,svd,,,,30,15,15,15,8,7,0.03538720798678696,0.6666666666666666,0.6517857142857143,0.6411483253588517,7,1,4,3,0.875,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S003,R08,2,svd,,,,30,15,16,14,7,8,0.0328035410202574,0.6,0.5803571428571428,0.55,2,5,1,7,0.2857142857142857,0.875
lda_tuning_v1,45ffd9277e,LDA,S003,R12,2,svd,,,,30,15,15,15,8,7,0.033003542019287124,0.5333333333333333,0.5446428571428572,0.5248868778280543,3,5,2,5,0.375,0.7142857142857143
lda_tuning_v1,45ffd9277e,LDA,S004,R04,2,svd,,,,30,15,15,15,8,7,0.028292125003645197,0.4666666666666667,0.4375,0.3181818181818182,7,1,7,0,0.875,0.0
lda_tuning_v1,45ffd9277e,LDA,S004,R08,2,svd,,,,30,15,16,14,7,8,0.03069670801050961,0.5333333333333333,0.5267857142857143,0.5248868778280543,3,4,3,5,0.42857142857142855,0.625
lda_tuning_v1,45ffd9277e,LDA,S004,R12,2,svd,,,,30,15,15,15,8,7,0.02930591700715013,0.5333333333333333,0.5625,0.4444444444444444,1,7,0,7,0.125,1.0
lda_tuning_v1,45ffd9277e,LDA,S005,R04,2,svd,,,,30,15,14,16,7,8,0.03206204198068008,0.6666666666666666,0.6428571428571428,0.6031746031746031,2,5,0,8,0.2857142857142857,1.0
lda_tuning_v1,45ffd9277e,LDA,S005,R08,2,svd,,,,30,15,14,16,7,8,0.03207204199861735,0.6,0.6071428571428572,0.5982142857142857,5,2,4,4,0.7142857142857143,0.5
lda_tuning_v1,45ffd9277e,LDA,S005,R12,2,svd,,,,30,15,14,16,7,8,0.031408292008563876,0.6,0.5982142857142857,0.5982142857142857,4,3,3,5,0.5714285714285714,0.625
lda_tuning_v1,45ffd9277e,LDA,S006,R04,2,svd,,,,30,15,16,14,8,7,0.0298106660193298,0.5333333333333333,0.5,0.34782608695652173,8,0,7,0,1.0,0.0
lda_tuning_v1,45ffd9277e,LDA,S006,R08,2,svd,,,,30,15,16,14,8,7,0.02987295898492448,0.5333333333333333,0.5178571428571428,0.49760765550239233,6,2,5,2,0.75,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S006,R12,2,svd,,,,30,15,16,14,8,7,0.028925584017997608,0.6,0.5803571428571428,0.55,7,1,5,2,0.875,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S007,R04,2,svd,,,,30,15,15,15,8,7,0.029673750017536804,0.6666666666666666,0.6428571428571428,0.6031746031746031,8,0,5,2,1.0,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S007,R08,2,svd,,,,30,15,15,15,8,7,0.03013537501101382,0.9333333333333333,0.9375,0.9333333333333333,7,1,0,7,0.875,1.0
lda_tuning_v1,45ffd9277e,LDA,S007,R12,2,svd,,,,30,15,16,14,7,8,0.028854874981334433,0.9333333333333333,0.9375,0.9333333333333333,7,0,1,7,1.0,0.875
lda_tuning_v1,45ffd9277e,LDA,S008,R04,2,svd,,,,30,15,15,15,7,8,0.029480791999958456,0.5333333333333333,0.5,0.34782608695652173,0,7,0,8,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S008,R08,2,svd,,,,30,15,15,15,7,8,0.03043295899988152,0.4666666666666667,0.4642857142857143,0.4642857142857143,3,4,4,4,0.42857142857142855,0.5
lda_tuning_v1,45ffd9277e,LDA,S008,R12,2,svd,,,,30,15,14,16,8,7,0.029106125002726912,0.4666666666666667,0.4732142857142857,0.4642857142857143,3,5,3,4,0.375,0.5714285714285714
lda_tuning_v1,45ffd9277e,LDA,S009,R04,2,svd,,,,30,15,16,14,8,7,0.029130624985555187,0.4666666666666667,0.5,0.3181818181818182,0,8,0,7,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S009,R08,2,svd,,,,30,15,16,14,8,7,0.0286078329954762,0.4666666666666667,0.5,0.3181818181818182,0,8,0,7,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S009,R12,2,svd,,,,30,15,16,14,8,7,0.029458082979544997,0.4666666666666667,0.4464285714285714,0.4,6,2,6,1,0.75,0.14285714285714285
lda_tuning_v1,45ffd9277e,LDA,S010,R04,2,svd,,,,30,15,16,14,8,7,0.028890790999867022,0.6666666666666666,0.6875,0.6411483253588517,3,5,0,7,0.375,1.0
lda_tuning_v1,45ffd9277e,LDA,S010,R08,2,svd,,,,30,15,16,14,8,7,0.029983790998812765,0.5333333333333333,0.5357142857142857,0.5333333333333333,4,4,3,4,0.5,0.5714285714285714
lda_tuning_v1,45ffd9277e,LDA,S010,R12,2,svd,,,,30,15,16,14,8,7,0.030897749995347112,0.4,0.41964285714285715,0.354066985645933,1,7,2,5,0.125,0.7142857142857143
lda_tuning_v1,45ffd9277e,LDA,S011,R04,2,svd,,,,30,15,15,15,8,7,0.029014165978878736,0.5333333333333333,0.5,0.34782608695652173,8,0,7,0,1.0,0.0
lda_tuning_v1,45ffd9277e,LDA,S011,R08,2,svd,,,,30,15,16,14,7,8,0.030091541993897408,0.8,0.8035714285714286,0.8,6,1,2,6,0.8571428571428571,0.75
lda_tuning_v1,45ffd9277e,LDA,S011,R12,2,svd,,,,30,15,15,15,8,7,0.028830708004534245,0.7333333333333333,0.7410714285714286,0.7321428571428572,5,3,1,6,0.625,0.8571428571428571
lda_tuning_v1,45ffd9277e,LDA,S012,R04,2,svd,,,,30,15,14,16,7,8,0.0318972910172306,0.5333333333333333,0.5089285714285714,0.4444444444444444,1,6,1,7,0.14285714285714285,0.875
lda_tuning_v1,45ffd9277e,LDA,S012,R08,2,svd,,,,30,15,14,16,7,8,0.030725417018402368,0.5333333333333333,0.5535714285714286,0.49760765550239233,6,1,6,2,0.8571428571428571,0.25
lda_tuning_v1,45ffd9277e,LDA,S012,R12,2,svd,,,,30,15,14,16,7,8,0.028964375000214204,0.8,0.7857142857142857,0.784688995215311,4,3,0,8,0.5714285714285714,1.0
lda_tuning_v1,45ffd9277e,LDA,S013,R04,2,svd,,,,30,15,15,15,8,7,0.029090957978041843,0.6666666666666666,0.6875,0.6411483253588517,3,5,0,7,0.375,1.0
lda_tuning_v1,45ffd9277e,LDA,S013,R08,2,svd,,,,30,15,15,15,8,7,0.028832082985900342,0.4,0.39285714285714285,0.3891402714932127,4,4,5,2,0.5,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S013,R12,2,svd,,,,30,15,16,14,7,8,0.028974250017199665,0.6666666666666666,0.6875,0.6411483253588517,7,0,5,3,1.0,0.375
lda_tuning_v1,45ffd9277e,LDA,S014,R04,2,svd,,,,30,15,15,15,7,8,0.02921762500773184,0.6666666666666666,0.6785714285714286,0.660633484162896,6,1,4,4,0.8571428571428571,0.5
lda_tuning_v1,45ffd9277e,LDA,S014,R08,2,svd,,,,30,15,15,15,7,8,0.028465540992328897,0.6666666666666666,0.6696428571428572,0.6666666666666666,5,2,3,5,0.7142857142857143,0.625
lda_tuning_v1,45ffd9277e,LDA,S014,R12,2,svd,,,,30,15,14,16,8,7,0.02918374998262152,0.4666666666666667,0.49107142857142855,0.4,1,7,1,6,0.125,0.8571428571428571
lda_tuning_v1,45ffd9277e,LDA,S015,R04,2,svd,,,,30,15,16,14,7,8,0.02918741700705141,0.5333333333333333,0.5,0.34782608695652173,0,7,0,8,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S015,R08,2,svd,,,,30,15,15,15,8,7,0.031113292003283277,0.7333333333333333,0.7410714285714286,0.7321428571428572,5,3,1,6,0.625,0.8571428571428571
lda_tuning_v1,45ffd9277e,LDA,S015,R12,2,svd,,,,30,15,15,15,8,7,0.029873083985876292,0.8666666666666667,0.8571428571428572,0.8611111111111112,8,0,2,5,1.0,0.7142857142857143
lda_tuning_v1,45ffd9277e,LDA,S016,R04,2,svd,,,,30,15,15,15,7,8,0.0289151250035502,0.6,0.5982142857142857,0.5982142857142857,4,3,3,5,0.5714285714285714,0.625
lda_tuning_v1,45ffd9277e,LDA,S016,R08,2,svd,,,,30,15,14,16,8,7,0.02825774997472763,0.6666666666666666,0.6517857142857143,0.6411483253588517,7,1,4,3,0.875,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S016,R12,2,svd,,,,30,15,15,15,7,8,0.02861600002506748,0.6,0.5982142857142857,0.5982142857142857,4,3,3,5,0.5714285714285714,0.625
lda_tuning_v1,45ffd9277e,LDA,S017,R04,2,svd,,,,30,15,16,14,7,8,0.03002679199562408,0.6666666666666666,0.6696428571428572,0.6666666666666666,5,2,3,5,0.7142857142857143,0.625
lda_tuning_v1,45ffd9277e,LDA,S017,R08,2,svd,,,,30,15,15,15,8,7,0.02962570800445974,0.6,0.5892857142857143,0.5833333333333333,6,2,4,3,0.75,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S017,R12,2,svd,,,,30,15,15,15,8,7,0.028971374995307997,0.5333333333333333,0.5625,0.4444444444444444,1,7,0,7,0.125,1.0
lda_tuning_v1,45ffd9277e,LDA,S018,R04,2,svd,,,,30,15,15,15,7,8,0.030210958007955924,0.4666666666666667,0.4375,0.3181818181818182,0,7,1,7,0.0,0.875
lda_tuning_v1,45ffd9277e,LDA,S018,R08,2,svd,,,,30,15,14,16,8,7,0.13116533300490119,0.26666666666666666,0.26785714285714285,0.26666666666666666,2,6,5,2,0.25,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S018,R12,2,svd,,,,30,15,15,15,7,8,0.029949416988529265,0.4666666666666667,0.49107142857142855,0.4,6,1,7,1,0.8571428571428571,0.125
lda_tuning_v1,45ffd9277e,LDA,S019,R04,2,svd,,,,30,15,15,15,8,7,0.029172874987125397,0.5333333333333333,0.5089285714285714,0.4444444444444444,7,1,6,1,0.875,0.14285714285714285
lda_tuning_v1,45ffd9277e,LDA,S019,R08,2,svd,,,,30,15,15,15,8,7,0.02839891699841246,0.5333333333333333,0.5446428571428572,0.5248868778280543,3,5,2,5,0.375,0.7142857142857143
lda_tuning_v1,45ffd9277e,LDA,S019,R12,2,svd,,,,30,15,16,14,7,8,0.02951875000144355,0.5333333333333333,0.5446428571428572,0.5248868778280543,5,2,5,3,0.7142857142857143,0.375
lda_tuning_v1,45ffd9277e,LDA,S020,R04,2,svd,,,,30,15,16,14,7,8,0.06552849998115562,0.5333333333333333,0.5357142857142857,0.5333333333333333,4,3,4,4,0.5714285714285714,0.5
lda_tuning_v1,45ffd9277e,LDA,S020,R08,2,svd,,,,30,15,15,15,8,7,0.03023354199831374,0.6,0.625,0.55,2,6,0,7,0.25,1.0
lda_tuning_v1,45ffd9277e,LDA,S020,R12,2,svd,,,,30,15,15,15,8,7,0.02902695900411345,0.4666666666666667,0.5,0.3181818181818182,0,8,0,7,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S021,R04,2,svd,,,,30,15,16,14,8,7,0.029276334011228755,0.4,0.41964285714285715,0.354066985645933,1,7,2,5,0.125,0.7142857142857143
lda_tuning_v1,45ffd9277e,LDA,S021,R08,2,svd,,,,30,15,16,14,8,7,0.03125458399881609,0.6,0.5803571428571428,0.55,7,1,5,2,0.875,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S021,R12,2,svd,,,,30,15,16,14,8,7,0.02876112502417527,0.5333333333333333,0.5,0.34782608695652173,8,0,7,0,1.0,0.0
lda_tuning_v1,45ffd9277e,LDA,S022,R04,2,svd,,,,30,15,15,15,7,8,0.02851270802784711,0.4666666666666667,0.5,0.3181818181818182,7,0,8,0,1.0,0.0
lda_tuning_v1,45ffd9277e,LDA,S022,R08,2,svd,,,,30,15,14,16,8,7,0.0272009999898728,0.6,0.5892857142857143,0.5833333333333333,6,2,4,3,0.75,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S022,R12,2,svd,,,,30,15,15,15,7,8,0.028775666025467217,0.5333333333333333,0.5,0.34782608695652173,0,7,0,8,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S023,R04,2,svd,,,,30,15,14,16,8,7,0.029787917010253295,0.5333333333333333,0.5178571428571428,0.49760765550239233,6,2,5,2,0.75,0.2857142857142857
lda_tuning_v1,45ffd9277e,LDA,S023,R08,2,svd,,,,30,15,15,15,7,8,0.02996566699584946,0.5333333333333333,0.5357142857142857,0.5333333333333333,4,3,4,4,0.5714285714285714,0.5
lda_tuning_v1,45ffd9277e,LDA,S023,R12,2,svd,,,,30,15,15,15,7,8,0.029196582996519282,0.4666666666666667,0.4375,0.3181818181818182,0,7,1,7,0.0,0.875
lda_tuning_v1,45ffd9277e,LDA,S024,R04,2,svd,,,,30,15,15,15,7,8,0.030342166981427,0.5333333333333333,0.5,0.34782608695652173,0,7,0,8,0.0,1.0
lda_tuning_v1,45ffd9277e,LDA,S024,R08,2,svd,,,,30,15,15,15,7,8,0.029741125006694347,0.6666666666666666,0.6696428571428572,0.6666666666666666,5,2,3,5,0.7142857142857143,0.625
lda_tuning_v1,45ffd9277e,LDA,S024,R12,2,svd,,,,30,15,14,16,8,7,0.02865320901037194,0.8,0.8125,0.7963800904977376,5,3,0,7,0.625,1.0
lda_tuning_v1,45ffd9277e,LDA,S025,R04,2,svd,,,,30,15,15,15,7,8,0.028719207999529317,0.5333333333333333,0.5625,0.4444444444444444,7,0,7,1,1.0,0.125
lda_tuning_v1,45ffd9277e,LDA,S025,R08,2,svd,,,,30,15,15,15,7,8,0.02899187500588596,0.4666666666666667,0.4732142857142857,0.4642857142857143,4,3,5,3,0.5714285714285714,0.375
lda_tuning_v1,45ffd9277e,LDA,S025,R12,2,svd,,,,30,15,14,16,8,7,0.029562416981207207,0.5333333333333333,0.5267857142857143,0.5248868778280543,5,3,4,3,0.625,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S026,R04,2,svd,,,,30,15,16,14,8,7,0.041681083996081725,0.5333333333333333,0.5,0.34782608695652173,8,0,7,0,1.0,0.0
lda_tuning_v1,45ffd9277e,LDA,S026,R08,2,svd,,,,30,15,16,14,8,7,0.03949766600271687,0.4,0.4017857142857143,0.4,3,5,4,3,0.375,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S026,R12,2,svd,,,,30,15,16,14,8,7,0.04009662501630373,0.7333333333333333,0.7232142857142857,0.7222222222222222,7,1,3,4,0.875,0.5714285714285714
lda_tuning_v1,45ffd9277e,LDA,S027,R04,2,svd,,,,30,15,15,15,8,7,0.03545133298030123,0.7333333333333333,0.7410714285714286,0.7321428571428572,5,3,1,6,0.625,0.8571428571428571
lda_tuning_v1,45ffd9277e,LDA,S027,R08,2,svd,,,,30,15,16,14,7,8,0.029986708977958187,0.6,0.6071428571428572,0.5982142857142857,5,2,4,4,0.7142857142857143,0.5
lda_tuning_v1,45ffd9277e,LDA,S027,R12,2,svd,,,,30,15,15,15,8,7,0.029166542022721842,0.6,0.5892857142857143,0.5833333333333333,6,2,4,3,0.75,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S028,R04,2,svd,,,,30,15,14,16,8,7,0.029099417006364092,0.5333333333333333,0.5267857142857143,0.5248868778280543,5,3,4,3,0.625,0.42857142857142855
lda_tuning_v1,45ffd9277e,LDA,S028,R08,2,svd,,,,30,15,15,15,7,8,0.030088750005234033,0.4666666666666667,0.48214285714285715,0.4444444444444444,5,2,6,2,0.7142857142857143,0.25
