experiment_group,config_id,model_name,subject_id,held_out_run,n_components,lda_solver,lda_shrinkage,svm_kernel,svm_c,n_train_trials,n_test_trials,train_left,train_right,test_left,test_right,fit_time_sec,accuracy,balanced_accuracy,f1_macro,tn,fp,fn,tp,tpr_left,tpr_right
svm_tuning_v1,8740b3428c,SVM,S001,R04,2,,,linear,0.01,30,15,15,15,8,7,0.03702662498108111,0.4666666666666667,0.5,0.3181818181818182,0,8,0,7,0.0,1.0
svm_tuning_v1,8740b3428c,SVM,S001,R08,2,,,linear,0.01,30,15,15,15,8,7,0.03275637500337325,0.6666666666666666,0.6785714285714286,0.660633484162896,4,4,1,6,0.5,0.8571428571428571
svm_tuning_v1,8740b3428c,SVM,S001,R12,2,,,linear,0.01,30,15,16,14,7,8,0.029088541981764138,0.4666666666666667,0.5,0.3181818181818182,7,0,8,0,1.0,0.0
svm_tuning_v1,8740b3428c,SVM,S002,R04,2,,,linear,0.01,30,15,16,14,7,8,0.032335500000044703,0.4666666666666667,0.5,0.3181818181818182,7,0,8,0,1.0,0.0
svm_tuning_v1,8740b3428c,SVM,S002,R08,2,,,linear,0.01,30,15,15,15,8,7,0.030912374990293756,0.5333333333333333,0.5,0.34782608695652173,8,0,7,0,1.0,0.0
svm_tuning_v1,8740b3428c,SVM,S002,R12,2,,,linear,0.01,30,15,15,15,8,7,0.02933449999545701,0.8,0.7857142857142857,0.784688995215311,8,0,3,4,1.0,0.5714285714285714
svm_tuning_v1,8740b3428c,SVM,S003,R04,2,,,linear,0.01,30,15,15,15,8,7,0.031795083021279424,0.6,0.5803571428571428,0.55,7,1,5,2,0.875,0.2857142857142857
svm_tuning_v1,8740b3428c,SVM,S003,R08,2,,,linear,0.01,30,15,16,14,7,8,0.029530624975450337,0.4666666666666667,0.5,0.3181818181818182,7,0,8,0,1.0,0.0
svm_tuning_v1,8740b3428c,SVM,S003,R12,2,,,linear,0.01,30,15,15,15,8,7,0.02904708299320191,0.6,0.5892857142857143,0.5833333333333333,6,2,4,3,0.75,0.42857142857142855
svm_tuning_v1,8740b3428c,SVM,S004,R04,2,,,linear,0.01,30,15,15,15,8,7,0.03004487499129027,0.6,0.5982142857142857,0.5982142857142857,5,3,3,4,0.625,0.5714285714285714
svm_tuning_v1,8740b3428c,SVM,S004,R08,2,,,linear,0.01,30,15,16,14,7,8,0.030865458014886826,0.4666666666666667,0.5,0.3181818181818182,7,0,8,0,1.0,0.0
